            SPY_Monthly_Returns  XLV_Monthly_Returns  TLT_Monthly_Returns  \
Date                                                                        
2017-01-31             0.017895             0.022918             0.008142   
2017-02-28             0.039292             0.063386             0.015846   
2017-03-31             0.001250            -0.004806            -0.006551   
2017-04-30             0.009926             0.015331             0.015732   
2017-05-31             0.014113             0.007682             0.018879   
2017-06-30             0.006375             0.045671             0.007919   
2017-07-31             0.020554             0.008203            -0.006583   
2017-08-31             0.002918             0.017524             0.034087   
2017-09-30             0.020149             0.009114            -0.023229   
2017-10-31             0.023564            -0.007586            -0.000385   
2017-11-30             0.030566             0.029096             0.007432   
2017-12-31             0.012128            -0.005505             0.018126   
2018-01-31             0.056359             0.065554            -0.032555   
2018-02-28            -0.036361            -0.044949            -0.030414   
2018-03-31            -0.027410            -0.029166             0.028596   
2018-04-30             0.005168             0.010566            -0.020881   
2018-05-31             0.024309             0.001823             0.020044   
2018-06-30             0.005751             0.016493             0.006458   
2018-07-31             0.037047             0.065540            -0.014369   
2018-08-31             0.031920             0.043293             0.013121   
2018-09-30             0.005945             0.029542            -0.028643   
2018-10-31            -0.069104            -0.067788            -0.029305   
2018-11-30             0.018549             0.080834             0.017872   
2018-12-31            -0.088048            -0.093536             0.058535   
2019-01-31             0.080066             0.048087             0.003786   
2019-02-28             0.032415             0.010809            -0.013764   
2019-03-31             0.018101             0.004819             0.055717   
2019-04-30             0.040852            -0.027139            -0.019911   
2019-05-31            -0.063771            -0.022183             0.068392   
2019-06-30             0.069586             0.065940             0.009501   
2019-07-31             0.015119            -0.016192             0.002565   
2019-08-31            -0.016743            -0.005925             0.110491   
2019-09-30             0.019458            -0.001056            -0.026798   
2019-10-31             0.022105             0.051259            -0.011132   
2019-11-30             0.036198             0.050026            -0.004071   
2019-12-31             0.029055             0.034753            -0.031975   
2020-01-31            -0.000404            -0.026703             0.076911   
2020-02-29            -0.079166            -0.065866             0.066265   
2020-03-31            -0.124871            -0.038874             0.063766   
2020-04-30             0.126983             0.125875             0.012190   
2020-05-31             0.047645             0.032889            -0.017619   
2020-06-30             0.017734            -0.024426             0.003366   
2020-07-31             0.058892             0.054562             0.044352   
2020-08-31             0.069797             0.025869            -0.050465   
2020-09-30            -0.037444            -0.021805             0.007734   
2020-10-31            -0.024934            -0.036215            -0.033852   
2020-11-30             0.108777             0.079481             0.016639   
2020-12-31             0.037048             0.037978            -0.012276   
2021-01-31            -0.010190             0.014016            -0.036328   
2021-02-28             0.027806            -0.021038            -0.057330   
2021-03-31             0.045399             0.040273            -0.052452   
2021-04-30             0.052910             0.039318             0.024951   
2021-05-31             0.006566             0.018709             0.000022   
2021-06-30             0.022427             0.022990             0.044191   
2021-07-31             0.024412             0.049226             0.037167   
2021-08-31             0.029760             0.023156            -0.003402   
2021-09-30            -0.046605            -0.055184            -0.029070   
2021-10-31             0.070163             0.051218             0.024650   
2021-11-30            -0.008035            -0.030564             0.027715   
2021-12-31             0.048891             0.094841            -0.022055   

            BIL_Monthly_Returns  DBC_Monthly_Returns  MUB_Monthly_Returns  
Date                                                                       
2017-01-31             0.000437            -0.005682             0.002588  
2017-02-28             0.000504            -0.001905             0.005228  
2017-03-31            -0.000175            -0.032443             0.003251  
2017-04-30             0.000744            -0.026956             0.005407  
2017-05-31             0.000153            -0.014189             0.015332  
2017-06-30             0.001029            -0.009596            -0.004196  
2017-07-31             0.000328             0.040830             0.008753  
2017-08-31             0.001138             0.003989             0.007998  
2017-09-30             0.000722             0.019867            -0.004275  
2017-10-31             0.000700             0.039610             0.000895  
2017-11-30             0.000547             0.009369            -0.004676  
2017-12-31             0.000744             0.027847             0.010141  
2018-01-31             0.001313             0.029500            -0.011468  
2018-02-28             0.000832            -0.029240            -0.006022  
2018-03-31             0.001301             0.022892             0.004936  
2018-04-30             0.001039             0.034158            -0.006917  
2018-05-31             0.001498             0.026765             0.012509  
2018-06-30             0.001487            -0.019412             0.001378  
2018-07-31             0.001389            -0.024321             0.001498  
